disno,historic,class_key,event_name,iso,origin,associ_types,ofda_response,appeal,decl,amount_aid,magni,magn_scale,lat,long,start_year,total_deaths,total_affec,total_damage,total_damadj,cpi,entry_date,last_update
0,1,nat-cli-dro-dro,Betsy,29,121,1,0,0,0,46.0,222.0,Km2,36.5,3.0,1992,2.0,100000.0,200000.0,417135.0,47.94612963679862,2006-02-13,2023-09-25
1,1,nat-cli-dro-dro,Betsy,109,121,1,0,0,0,46.0,222.0,Km2,36.5,3.0,1992,2.0,331500.0,200000.0,417135.0,47.94612963679862,2006-02-13,2023-09-25
2,1,nat-met-sto-tro,Betsy,207,121,1,1,0,0,46.0,222.0,Kph,36.5,3.0,1992,2.0,10.0,200000.0,417135.0,47.94612963679862,2003-07-01,2023-09-25
3,1,nat-hyd-flo-riv,Cerro Negro,151,121,1,0,0,0,1160.0,7910.0,Km2,36.5,3.0,1992,18.0,600.0,200000.0,417135.0,47.94612963679862,2006-07-18,2023-09-25
4,1,nat-met-sto-bli,Cerro Negro,104,121,1,0,0,0,1160.0,12840.0,Kph,36.5,3.0,1992,25.0,104075.0,155000.0,323279.0,47.94612963679862,2006-01-03,2023-09-25
5,1,nat-geo-mmd-ava,Cerro Negro,193,121,73,1,0,0,59.0,12840.0,Km2,36.5,3.0,1992,261.0,1069.0,900.0,1877.0,47.94612963679862,2006-01-03,2023-09-25
6,1,nat-hyd-flo-riv,Cerro Negro,53,121,73,0,0,0,59.0,12840.0,Km2,36.5,3.0,1992,21.0,2258.0,900.0,1877.0,47.94612963679862,2006-07-18,2023-09-25
7,1,nat-geo-ear-gro,Cerro Negro,53,121,73,0,0,0,59.0,5.0,Richter,36.5,3.0,1992,41.0,2250.0,25800.0,53810.0,47.94612963679862,2003-12-10,2023-09-25
8,1,nat-hyd-flo-riv,Cerro Negro,25,121,73,0,0,0,59.0,90430.0,Km2,39.71,39.605,1992,41.0,19500.0,25800.0,53810.0,47.94612963679862,2006-01-03,2023-09-25
9,1,nat-hyd-flo-riv,Cerro Negro,25,121,73,0,0,0,59.0,90430.0,Km2,39.71,39.605,1992,25.0,1000.0,250000.0,521419.0,47.94612963679862,2006-01-03,2023-09-25
10,1,nat-hyd-flo-fla,Cerro Negro,5,10,6,0,0,0,59.0,90430.0,Km2,39.71,39.605,1992,45.0,2000.0,250000.0,521419.0,47.94612963679862,2006-01-08,2023-09-25
11,1,nat-hyd-flo-riv,Cerro Negro,44,121,73,0,0,0,2590.0,90430.0,Km2,39.71,39.605,1992,653.0,9127.0,2590.0,5402.0,47.94612963679862,2006-07-18,2023-09-25
12,1,nat-geo-ear-gro,Cerro Negro,193,121,73,1,0,0,11213.0,6.8,Richter,39.71,39.605,1992,653.0,348850.0,750000.0,1564256.0,47.94612963679862,2004-03-26,2023-09-25
13,1,nat-hyd-flo-riv,Cerro Negro,24,121,73,0,0,0,610.0,550.0,Km2,12.5,-86.7,1992,4.0,40050.0,100000.0,208567.0,47.94612963679862,2005-11-21,2023-09-25
14,1,nat-hyd-flo-riv,Cerro Negro,54,121,73,1,0,0,2109.0,550.0,Km2,12.5,-86.7,1992,22.0,205000.0,20000.0,41713.0,47.94612963679862,2005-11-21,2023-09-25
15,1,nat-geo-vol-ash,Cerro Negro,137,121,73,1,0,0,1398.0,545400.0,°C,12.5,-86.7,1992,1.0,300075.0,550000.0,1147121.0,47.94612963679862,2005-06-03,2023-09-25
16,1,nat-met-ext-col,Taal,90,121,73,0,0,0,7520.0,545400.0,°C,14.0,121.0,1992,248.0,1578.0,550000.0,1147121.0,47.94612963679862,2003-07-01,2023-09-25
17,1,nat-geo-vol-ash,Taal,147,121,73,0,0,0,7520.0,545400.0,Km2,14.0,121.0,1992,248.0,1578.0,170000.0,354565.0,47.94612963679862,2005-06-03,2023-09-25
18,1,nat-hyd-flo-riv,Cholera,34,121,73,0,0,0,7520.0,545400.0,Km2,29.3,66.7,1992,248.0,210070.0,170000.0,354565.0,47.94612963679862,2006-07-18,2023-09-25
19,1,nat-bio-epi-bac,Cholera,5,510,73,0,0,0,7520.0,222.0,Vaccinated,29.3,66.7,1992,67.0,3883.0,74200.0,154757.0,47.94612963679862,2003-07-01,2023-09-25
20,1,nat-hyd-mmw-mud,Fran,25,510,73,0,0,0,7520.0,222.0,Vaccinated,29.3,66.7,1992,30.0,60.0,74200.0,154757.0,47.94612963679862,2006-01-06,2023-09-25
